_id,canal,date,num_compte,num_tiers,marche,reference,statut,userIP,motif,_class,transaction_type,montant_recharge,motif_echec,format,option,reference_chequier,format_lcn,reference_lcn,num_carte,facturier,service,montant
640858248102a8125f12068f,mbanking,4/3/2022,600775609.0,884010591,TPE,168300784,echec,203.109.198.167,Ju ogouzjov cabofefu mo hafok tumet naik hasmes worden we vap zoc zihnadma maw mu iho.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120690,ebanking,9/15/2022,766487926.0,990260883,Professionnel,828942925,succes,252.189.162.108,Ziwge fuzti dur koge cejekupu iwila wapuvuj kaekur vuzawel siwcato odaweregi jofowah zugbotdo fivol na pipa.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120691,ebanking,12/2/2022,993765924.0,780451871,Professionnel,751536499,echec,46.116.35.193,Hi obe kil bojgul jige najzodum icicuroz fi ipicatfef liej ude te coj hamwer feepcac.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120692,ebanking,12/5/2022,399513237.0,973122910,Particulier,871526455,succes,138.74.217.58,Fodil bicagsum kajsah ure iwmi ukima hok mugugtak zi akod zutulis teog guh situ uhe.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120693,ebanking,5/22/2022,989315681.0,309503277,TPE,619793972,echec,61.213.15.54,Jep bezrew mawefih dofe jutan zaspigcoz tos puborlo vebgop ojzecve erolawemo haomac.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120694,ebanking,6/6/2022,503608615.0,247697795,Professionnel,248274126,succes,31.223.240.173,Kero nab vupavvu cultowku ror ofiba kenahem pezeg va fi metog zelsi du vofor ivuej widakef.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120695,mbanking,4/14/2022,463379181.0,109590957,TPE,863537897,echec,192.23.206.196,Wigotiife touk wogenu fo rosuh bozu su simeczek hod nebobru aw we uj jum pianub jufub dulomnad mis.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120696,ebanking,1/21/2022,795740997.0,955337998,Particulier,543661569,succes,140.25.247.18,Pubok nag talona soamjel inahipo izoawva rasigu ehokes te kuhibca ahaapme fo.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120697,mbanking,1/22/2022,301393838.0,158100621,Particulier,929146751,succes,221.165.59.87,Cionbes ufifesel jofiike wan oc te fefvaus alaojela nouz dochej huzangom fis cadajo nonet kelvemmaf epedhud.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
640858248102a8125f120698,mbanking,9/6/2022,748835152.0,342341470,Professionnel,816691543,succes,57.9.238.47,Pevfegut pofwaje jevefo tuf onjup lun toravul uvuutako ahaeji zas diwfubal cupeni hecumgak.,com.application.ApiApplication.model.connexion,connexion,,,,,,,,,,,
